Date,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,ON,QCOM,TER,TSM,TXN,UMC
2018-01-03,78.81099700927734,49.292964935302734,11.550000190734863,165.5074462890625,21.402854919433594,37.99559020996094,94.92809295654297,17.17881965637207,39.54935073852539,21.78656768798828,43.90458297729492,5.252899646759033,104.93205261230469,22.780000686645508,53.55281066894531,42.551536560058594,34.41770935058594,86.63936614990234,1.617021918296814
2018-01-04,78.72478485107422,49.57605743408203,12.119999885559082,167.05088806152344,21.409990310668945,37.298805236816406,95.09608459472656,17.257347106933594,39.6441535949707,22.281496047973633,45.759151458740234,5.280588626861572,104.74542999267578,22.780000686645508,53.62592315673828,42.75293731689453,34.23617935180664,86.52750396728516,1.6038752794265747
2018-01-05,79.04381561279297,49.859134674072266,11.880000114440918,169.01019287109375,21.536849975585938,37.55904769897461,97.12955474853516,17.526859283447266,39.760520935058594,21.891260147094727,44.704978942871094,5.3253374099731445,104.9053955078125,22.829999923706055,53.98326110839844,43.740726470947266,35.03657913208008,87.19071960449219,1.623595118522644
2018-01-08,79.18180847167969,51.06451416015625,12.279999732971191,169.89743041992188,21.588390350341797,37.55904769897461,97.39480590820312,17.658939361572266,39.915653228759766,22.053062438964844,44.460941314697266,5.488509654998779,105.10977172851562,22.969999313354492,53.82081604003906,44.29694747924805,35.02008056640625,87.60621643066406,1.6433149576187134
2018-01-09,79.01795196533203,50.096561431884766,11.819999694824219,168.98248291015625,21.28946876525879,36.61882019042969,96.54603576660156,17.631271362304688,39.868255615234375,22.03403663635254,41.942630767822266,5.487026214599609,105.26084899902344,22.920000076293945,53.00868225097656,43.548919677734375,34.8055419921875,88.20549774169922,1.6367417573928833
2018-01-10,77.69869995117188,48.67201232910156,11.960000038146973,167.01393127441406,20.83989143371582,35.6785774230957,93.96442413330078,17.10385513305664,39.195953369140625,22.024511337280273,42.27450180053711,5.530044078826904,105.88291931152344,22.639999389648438,53.00056076049805,42.47481918334961,34.07939147949219,87.6541519165039,1.5775822401046753
2018-01-11,78.62992095947266,48.5806999206543,12.140000343322754,165.01759338378906,20.893022537231445,36.44251251220703,93.92904663085938,16.877185821533203,39.69587326049805,22.03403663635254,41.79621887207031,5.539933681488037,105.97178649902344,23.079999923706055,53.13863754272461,42.70497131347656,33.85659408569336,88.42920684814453,1.5644358396530151
2018-01-12,79.34558868408203,48.80898666381836,12.020000457763672,167.1618194580078,20.955657958984375,36.299808502197266,94.85736846923828,16.822751998901367,40.2690544128418,22.690771102905273,41.786460876464844,5.512739181518555,106.26502227783203,23.56999969482422,53.09801483154297,42.772117614746094,33.988624572753906,90.06723022460938,1.5775822401046753
2018-01-16,80.27685546875,49.767822265625,11.90999984741211,172.25416564941406,20.873193740844727,36.215850830078125,95.18450164794922,16.990520477294922,40.221649169921875,22.443302154541016,41.893829345703125,5.441781520843506,106.10506439208984,23.5,55.428871154785156,43.45301055908203,34.8468017578125,90.22705078125,1.5841556787490845
2018-01-17,82.40665435791016,52.36122512817383,12.180000305175781,184.0840606689453,21.076181411743164,37.265220642089844,100.33889770507812,18.301469802856445,41.38092803955078,22.45282554626465,43.201786041259766,5.555756092071533,106.05176544189453,23.920000076293945,55.2420768737793,44.84358596801758,35.58945083618164,95.2130355834961,1.5973020792007446
2018-01-18,83.84664916992188,52.416015625,12.470000267028809,187.94729614257812,21.392545700073242,37.34077453613281,101.36450958251953,18.334487915039062,41.92824172973633,22.548006057739258,42.9382438659668,5.54883337020874,106.6382827758789,24.739999771118164,55.266448974609375,45.25597381591797,36.77768325805664,93.01571655273438,1.590728998184204
2018-01-19,82.89815521240234,52.416015625,12.59000015258789,189.9435577392578,21.122167587280273,37.62620162963867,101.69161224365234,18.52010726928711,41.99721145629883,22.53848648071289,41.72788619995117,5.6890130043029785,107.03815460205078,25.040000915527344,55.25832748413086,45.4765510559082,36.860198974609375,93.35127258300781,1.6038752794265747
2018-01-22,83.33790588378906,52.47080993652344,12.649999618530273,189.96202087402344,20.782800674438477,38.40693664550781,101.31145477294922,18.668245315551758,42.53159713745117,22.481382369995117,41.85478210449219,5.777520656585693,107.5979995727539,25.3700008392334,55.76998519897461,45.812198638916016,38.271240234375,95.43673706054688,1.5841556787490845
2018-01-23,83.18269348144531,52.772159576416016,12.9399995803833,189.86036682128906,20.84544563293457,38.66718292236328,102.56692504882812,19.19298553466797,42.45833969116211,22.39571762084961,42.899200439453125,5.906575679779053,107.39360809326172,25.149999618530273,55.50196075439453,46.43555450439453,38.188720703125,95.79629516601562,1.6367417573928833
2018-01-24,82.2083511352539,51.9411735534668,12.710000038146973,186.92141723632812,20.366531372070312,38.20545959472656,101.612060546875,18.716434478759766,41.09649658203125,22.16728973388672,42.05000305175781,5.829685688018799,107.04704284667969,24.59000015258789,55.20960235595703,44.87236404418945,37.40482711791992,87.6541519165039,1.6564613580703735
2018-01-25,79.31110382080078,50.91841125488281,12.40999984741211,185.60902404785156,19.607725143432617,38.029170989990234,99.98524475097656,17.78118896484375,39.8553352355957,21.90078353881836,41.98167037963867,5.843283653259277,106.81599426269531,23.81999969482422,54.75479507446289,42.963905334472656,37.21501541137695,88.01372528076172,1.6301685571670532
2018-01-26,80.91493225097656,52.16032791137695,12.949999809265137,190.85850524902344,19.88523292541504,42.041961669921875,100.29472351074219,18.077476501464844,41.764503479003906,22.26246452331543,42.62588882446289,6.0158514976501465,106.94039916992188,25.139999389648438,55.656288146972656,45.74506759643555,37.726627349853516,90.84232330322266,1.6564613580703735
