solver,mean,std,min,q25,median,q75,max
GD,529.4166666666666,213.79570025909166,130,358.0,552.0,699.5,907
CG,12.083333333333334,0.5835920751217648,11,12.0,12.0,12.0,13
PCG_Jacobi,18.875,0.5366968215490656,18,19.0,19.0,19.0,20
PCG_SSOR,19.0,0.0,19,19.0,19.0,19.0,19
PCG_IChol,1.0,0.0,1,1.0,1.0,1.0,1
