solver,mean,std,min,q25,median,q75,max
GD,8.329836349373481e-05,3.661322427719374e-05,4.7212198333239786e-05,5.970531257417208e-05,7.182066630577078e-05,9.572314390513215e-05,0.00018551789914947428
CG,0.00016595191207995126,5.6307991510357075e-05,8.60120185813212e-05,0.00011855680898304433,0.00015161425578689785,0.00022137508394170434,0.00027592323471390475
PCG_Jacobi,5.0244719511392824e-08,3.4516486871114e-08,7.066283996299307e-09,2.747662877666877e-08,4.753998495305631e-08,6.17503951321721e-08,1.3736497679170426e-07
PCG_SSOR,1.7967137937700974e-13,4.801343548329911e-13,3.012086991858908e-16,5.4946560220804715e-16,2.518674001490613e-14,8.370332490343556e-14,2.3079955420544255e-12
PCG_IChol,2.774402606758533e-16,8.931922451264648e-17,1.7321339733941118e-16,2.065675164551759e-16,2.5271264595755105e-16,3.189228413840256e-16,5.009982998527438e-16
