solver,mean,std,min,q25,median,q75,max
GD,0.0008202365177711293,0.0003516173652534882,0.00044308679382861014,0.0005687522782519934,0.0007506873930255704,0.0008846405468608976,0.0017223191774283025
CG,0.001254645130024041,0.000529617227366988,0.0005566079605948286,0.0007577829267079654,0.0011314988398531023,0.0016712663481477418,0.002269987438168731
PCG_Jacobi,3.603964259941096e-07,2.545983091606633e-07,3.162258825483111e-08,1.86855058459122e-07,3.377388155851589e-07,4.644047561129051e-07,1.0851158615136237e-06
PCG_SSOR,7.580430518126945e-13,2.1061795481686374e-12,1.9598204728717395e-15,3.5290586309397677e-15,9.195250172496769e-14,3.375172918210831e-13,1.0183680875437811e-11
PCG_IChol,1.9531954933507047e-15,7.991433464963808e-16,9.055327623945954e-16,1.4327056401898443e-15,1.708712655975578e-15,2.1723220012759176e-15,4.281690804398286e-15
