solver,mean,std,min,q25,median,q75,max
GD,2.405626877589384,1.073485686737663,0.5621250020340085,1.5822715067770332,2.4023340083658695,3.1975520105334,4.894332989351824
CG,0.12004858217551373,0.04414988013603442,0.10095798643305898,0.10441673657624051,0.10949998977594078,0.11211500532226637,0.3188339760527015
PCG_Jacobi,0.16880045465465324,0.011160412033171169,0.15241702203638852,0.1623124844627455,0.16522948862984776,0.17239599401364103,0.20695800776593387
PCG_SSOR,0.6931649598603448,0.04754594864635645,0.6527910009026527,0.6636357647948898,0.6746250001015142,0.7019377735559829,0.8518329996149987
PCG_IChol,0.03430041639755169,0.0031142748158837627,0.03187500988133252,0.032542004191782326,0.03314648347441107,0.03460474545136094,0.04604199784807861
