solver,mean,std,min,q25,median,q75,max
GD,0.012276889042321175,0.005394080289653009,0.006612849120619994,0.008947811990753748,0.010809040122162111,0.01375396798181082,0.027247525650442042
CG,0.01879380385957403,0.008324873630788767,0.009035637937053961,0.011340712585930661,0.01759427235305267,0.024719157136033464,0.03774695052270304
PCG_Jacobi,5.3673189140032755e-06,3.769201876566154e-06,5.258426783268367e-07,2.4835225686542166e-06,5.118934420997463e-06,6.764199874842464e-06,1.572797168962587e-05
PCG_SSOR,1.0746293012620126e-11,2.8528438998244462e-11,2.8015978124626125e-14,4.578426763402181e-14,1.478026724241017e-12,4.972100099399954e-12,1.368348465919395e-10
PCG_IChol,2.9304745623581485e-14,1.2280942310189303e-14,1.469987272980065e-14,1.9761823734311015e-14,2.5503862448929278e-14,3.3720318455281693e-14,6.334559988108957e-14
