rebal_date,solver,converged,iterations,wall_clock_time_ms,initial_residual_norm,final_residual_norm,relative_residual,a_norm_error,two_norm_error,relative_solution_error,condition_number,min_eigenvalue,max_eigenvalue,max_conjugacy_loss,mean_conjugacy_loss
20230103,CG,False,12,0.11166700278408825,0.0037898351238289337,2.5815660834806195e-06,0.0009979531852487978,0.0002612538398574329,0.033060934976318866,0.00202366866185757,277.0938955457468,4.117939732756927e-05,0.011410559621722285,1.0405842750490805e-14,2.74120456726122e-15
20230202,CG,False,12,0.1376250002067536,0.0029673063259982807,1.617781618009124e-06,0.0006231771420861999,0.00015483518003615672,0.018984876012305786,0.0014129143532102685,281.22856820634104,4.078053652327629e-05,0.01146865189712739,1.1157931332237976e-14,4.910953391978849e-15
20230306,CG,False,12,0.3188339760527015,0.0033310812218007037,1.2601265319181797e-06,0.00044231322180651316,0.00011889000325492695,0.0140327438667705,0.0009585092221313694,255.26422801549478,4.3759866007751417e-05,0.011170328414530157,8.324763095542374e-15,4.556451930075774e-15
20230404,CG,False,12,0.12004101881757379,0.0033670371898092337,1.4011398206579138e-06,0.0005129329458586896,0.00012018182797023615,0.012653228139971091,0.0008431253534523143,244.44386455614892,4.334560928039186e-05,0.01059556824403986,9.144057308126968e-15,4.329281076381519e-15
20230504,CG,False,12,0.11599998106248677,0.00344998702897073,1.3819107267177143e-06,0.0005096742772985662,0.00011755722616739647,0.011118390430054366,0.00069587234836179,235.50514512248282,4.460073720689473e-05,0.010503703088479463,1.4008591140307285e-14,6.791047283342317e-15
20230605,CG,False,12,0.10987499263137579,0.0030931540872875733,1.0250336844502098e-06,0.00032603116804509917,8.60120185813212e-05,0.009035637937053961,0.0005566079605948286,225.75834993157278,4.724199068007024e-05,0.010665273863415398,1.2317303761695971e-14,3.613122590772112e-15
20230706,CG,False,11,0.1010830164887011,0.0030224674640658687,1.9630811582618115e-06,0.0006319622124828752,0.00017084568170822566,0.017802692798712733,0.0011390102928968615,225.53625773609681,4.747103823266089e-05,0.010706440313841513,1.297711984876581e-14,4.10947663641916e-15
20230804,CG,False,11,0.10125001426786184,0.0030832296030185178,2.3176134399074092e-06,0.0007556282641949822,0.00019037806788624968,0.01750780378923258,0.0010678156157665772,223.11644616683182,4.823095882348874e-05,0.010761120127915608,3.099299019048968e-15,1.461296744847784e-15
20230905,CG,False,11,0.15762500697746873,0.003149055684510182,2.527827591961937e-06,0.000851442741150851,0.00023576454579103199,0.024979830055146996,0.0015769016539756116,226.3528250883106,4.8049566617164857e-05,0.010876155148064245,2.6363551186389375e-14,8.68995570730641e-15
20231004,CG,False,12,0.10224999277852476,0.0032025516493510158,1.4136331785892238e-06,0.0005185445623596457,0.00010608997126949218,0.010262907577222093,0.0006833306147022714,228.70841952917,4.742118914555048e-05,0.010845625221672681,2.4267774491853222e-14,1.3408094708598427e-14
