solver,convergence_rate,mean_iterations,std_iterations,mean_time_ms,mean_relative_residual,max_relative_residual,mean_a_norm_error,max_a_norm_error,mean_relative_solution_error,max_conjugacy_loss
GD,0.0,529.4166666666666,213.79570025909166,2.405626877589384,0.00018695431666648353,0.00041509021294929,8.329836349373481e-05,0.00018551789914947428,0.0008202365177711293,
CG,0.0,12.083333333333334,0.5835920751217648,0.12004858217551373,0.0005187970130613022,0.0009979531852487978,0.00016595191207995126,0.00027592323471390475,0.001254645130024041,8.121223961945083e-14
PCG_Jacobi,0.0,18.875,0.5366968215490656,0.16880045465465324,1.7907872338359106e-07,6.387217119937589e-07,5.0244719511392824e-08,1.3736497679170426e-07,3.603964259941096e-07,3.914748693408804e-13
PCG_SSOR,1.0,19.0,0.0,0.6931649598603448,5.923077030281367e-12,8.141154879332558e-11,1.7967137937700974e-13,2.3079955420544255e-12,7.580430518126945e-13,0.0001782774795968807
PCG_IChol,1.0,1.0,0.0,0.03430041639755169,1.4981182418548978e-15,2.6035070488040858e-15,2.774402606758533e-16,5.009982998527438e-16,1.9531954933507047e-15,
