solver,mean,std,min,q25,median,q75,max
GD,,,,,,,
CG,5.3509311831514356e-15,3.5009209544753455e-15,1.2013968174547256e-15,3.353224131945953e-15,4.442866503228646e-15,6.4648387720530466e-15,1.572453760960037e-14
PCG_Jacobi,1.4291966653570488e-14,1.007623818927288e-14,1.8512819385966244e-15,4.949004076082019e-15,1.1483759173176006e-14,2.064364854591871e-14,3.56214821280808e-14
PCG_SSOR,8.025221757208279e-07,1.9594042901794773e-06,5.716629830807623e-16,6.227795053637411e-15,9.449378160560346e-08,5.836441935222522e-07,9.383025247184785e-06
PCG_IChol,,,,,,,
