solver,mean,std,min,q25,median,q75,max
GD,,,,,,,
CG,1.8043778789998174e-14,1.5714496925794055e-14,3.099299019048968e-15,1.0090396389899845e-14,1.2782864326820437e-14,2.2721173607906084e-14,8.121223961945083e-14
PCG_Jacobi,7.663690038280949e-14,8.412627111978199e-14,8.52927495807755e-15,2.4980371737733875e-14,4.896082264268264e-14,9.448040492200007e-14,3.914748693408804e-13
PCG_SSOR,1.5247921302743503e-05,3.722868149713514e-05,1.0700480366629822e-15,8.246024325312466e-14,1.7953818297316205e-06,1.1089239630488695e-05,0.0001782774795968807
PCG_IChol,,,,,,,
