rebal_date,solver,converged,iterations,wall_clock_time_ms,initial_residual_norm,final_residual_norm,relative_residual,a_norm_error,two_norm_error,relative_solution_error,condition_number,min_eigenvalue,max_eigenvalue,max_conjugacy_loss,mean_conjugacy_loss
20230103,PCG_SSOR,True,19,0.8518329996149987,0.0037898351238289337,2.7938759716428974e-15,1.0800255871552013e-12,4.2409750370732793e-14,2.4694121524377838e-12,1.5115337753388022e-13,277.0938955457468,4.117939732756927e-05,0.011410559621722285,2.8932008915552524e-05,1.5227373126263773e-06
20230202,PCG_SSOR,True,19,0.7215000223368406,0.0029673063259982807,2.113461778950759e-13,8.141154879332558e-11,2.3079955420544255e-12,1.368348465919395e-10,1.0183680875437811e-11,281.22856820634104,4.078053652327629e-05,0.01146865189712739,2.4947461842397397e-07,1.313024691744062e-08
20230306,PCG_SSOR,True,19,0.7735409890301526,0.0033310812218007037,5.1824213674895575e-15,1.8190661284814994e-12,7.577750194886892e-14,4.474708196009998e-12,3.0564578908754e-13,255.26422801549478,4.3759866007751417e-05,0.011170328414530157,5.197192691568487e-06,2.7353645841587244e-07
20230404,PCG_SSOR,True,19,0.7559999939985573,0.0033670371898092337,5.675350318819208e-14,2.0776471519059938e-11,6.717849794960111e-13,4.0858520356235076e-11,2.7225348374195984e-12,244.44386455614892,4.334560928039186e-05,0.01059556824403986,2.6242306556829166e-06,1.3811740626515176e-07
20230504,PCG_SSOR,True,19,0.7233749784063548,0.00344998702897073,3.3932669190350836e-14,1.2514997034201464e-11,4.0698408812479e-13,2.4900026884064093e-11,1.5584306281642835e-12,235.50514512248282,4.460073720689473e-05,0.010503703088479463,8.271311162601818e-07,4.353321717569264e-08
20230605,PCG_SSOR,True,19,0.6954170239623636,0.0030931540872875733,4.456872428353244e-16,1.417591778384711e-13,1.7262395412787323e-14,1.0322679947957777e-12,6.35891552288036e-14,225.75834993157278,4.724199068007024e-05,0.010665273863415398,3.319981949588843e-05,1.7473589247102698e-06
20230706,PCG_SSOR,True,19,0.6876249972265214,0.0030224674640658687,2.7638482729310534e-16,8.897480688343175e-14,1.5496582262947207e-14,9.710067839308628e-13,6.212468719619217e-14,225.53625773609681,4.747103823266089e-05,0.010706440313841513,1.678355176382904e-05,8.833448309185538e-07
20230804,PCG_SSOR,True,19,0.6864580209366977,0.0030832296030185178,9.290003098407515e-16,3.0288868690268405e-13,2.150537995757684e-14,1.2647807964437153e-12,7.714004002003307e-14,223.11644616683182,4.823095882348874e-05,0.010761120127915608,4.864669147427699e-05,2.5603521863072185e-06
20230905,PCG_SSOR,True,19,0.686249986756593,0.003149055684510182,2.1187314204186703e-15,7.136477559229333e-13,2.886810007223542e-14,1.6912726520383185e-12,1.0676496342990231e-13,226.3528250883106,4.8049566617164857e-05,0.010876155148064245,5.2076459297437e-06,2.7408662953731566e-07
20231004,PCG_SSOR,True,19,0.6588340038433671,0.0032025516493510158,2.028686091305256e-15,7.44156374732816e-13,2.908511226903865e-14,1.699498191665823e-12,1.1315693289237873e-13,228.70841952917,4.742118914555048e-05,0.010845625221672681,1.7890150538066526e-06,9.415868851780352e-08
20231102,PCG_SSOR,True,19,0.6829170160926878,0.0035215467073114364,9.093076596102633e-15,3.900998792520906e-12,1.0748079376713549e-13,6.4642758095698205e-12,4.3313180002171225e-13,233.71174847535744,4.6709579817969424e-05,0.010916577569806902,1.8017486056565885e-06,9.482887469340339e-08
20231204,PCG_SSOR,True,19,0.6610419950447977,0.0034063093193451187,1.7273266972874368e-14,7.940812482970081e-12,2.1728965220545226e-13,1.3022215530222963e-11,8.802047907560074e-13,244.1684020671227,4.431655414095431e-05,0.010820702209717944,4.333020609584546e-09,2.2805423856379871e-10
20240104,PCG_SSOR,True,19,0.6760419928468764,0.003341408069889849,2.0792068269246963e-14,9.645132182901643e-12,2.4087622791013183e-13,1.4429113738177036e-11,1.031023730215922e-12,244.03483836287944,4.380289238467149e-05,0.010689431762919909,7.741157439372109e-07,4.0742935290434355e-08
20240205,PCG_SSOR,True,19,0.6557919841725379,0.002637490589205981,1.8477121465794555e-15,5.900168450473184e-13,6.605121103207744e-14,4.02922717635857e-12,2.5468790542986683e-13,236.79054811338423,4.308750883354856e-05,0.010202714833536249,9.191135586041915e-06,4.837439810568182e-07
20240306,PCG_SSOR,True,19,0.6527910009026527,0.0029710665314175992,1.2932113474957099e-15,3.1362912783070414e-13,3.935078895307233e-14,2.3273640962609666e-12,1.5008896564228272e-13,221.85873490903967,4.4160043739073396e-05,0.009797291437478681,3.049548888536353e-05,1.6050257333569788e-06
20240405,PCG_SSOR,True,19,0.6615410093218088,0.0027743779533177648,2.225041251421176e-16,5.761970065845171e-14,8.381085558600108e-15,4.757806912519145e-13,3.107073503285032e-14,217.88534004040486,4.298446155131481e-05,0.009365684021561935,0.0001782774795968807,9.383025247184785e-06
20240506,PCG_SSOR,True,19,0.6643340166192502,0.0035103713412963783,4.744547532855057e-16,9.731890051028729e-14,1.281170954141286e-14,7.1062692950609e-13,5.063193862657292e-14,211.76973285378736,4.2855320590965195e-05,0.009075459792912112,1.9490479744947833e-06,1.025814743993965e-07
20240605,PCG_SSOR,True,19,0.6732080073561519,0.00418331046734653,3.566604953193012e-17,6.542091242237338e-15,5.921671220224146e-16,4.041044052674649e-14,2.8312093688241344e-15,192.6674764352297,4.35368144521316e-05,0.008388128172521034,4.263411927639111e-15,1.3832798424411962e-15
20240708,PCG_SSOR,True,19,0.6653339951299131,0.006267338344373106,2.897199397494138e-18,3.730645142969011e-16,3.704747535140248e-16,4.756465601664481e-14,3.761675051644979e-15,182.1670166525521,4.2936072418151374e-05,0.007821536219192564,1.0700480366629822e-15,5.716629830807623e-16
20240806,PCG_SSOR,True,19,0.6570830009877682,0.003921694916693736,1.5174473620086492e-17,3.0847458201314537e-15,4.0001640856310593e-16,3.031884104993958e-14,2.367261365465798e-15,197.4005510175328,4.3288973190939324e-05,0.008545267160874627,4.5856769203467065e-15,1.619345611086278e-15
