solver,mean,std,min,q25,median,q75,max
GD,0.00018695431666648353,7.910158879887976e-05,6.41792809735311e-05,0.00012280262243736736,0.00018970170361375745,0.00022343829414748397,0.00041509021294929
CG,0.0005187970130613022,0.00020596516638659952,0.00020927675366232633,0.00032854909668318595,0.0005113036115786279,0.000640508199351859,0.0009979531852487978
PCG_Jacobi,1.7907872338359106e-07,1.5994324002507703e-07,1.525041003218939e-08,7.325124093048892e-08,1.199875786588639e-07,2.201438605478492e-07,6.387217119937589e-07
PCG_SSOR,5.923077030281367e-12,1.6877512020855497e-11,3.730645142969011e-16,5.677754886710867e-15,3.082589073666941e-13,2.339549294491351e-12,8.141154879332558e-11
PCG_IChol,1.4981182418548978e-15,6.615934152838721e-16,3.691726110947029e-16,1.1149947375534965e-15,1.4533970185112255e-15,2.0812401685735745e-15,2.6035070488040858e-15
