solver,convergence_rate,mean_iterations,std_iterations,min_iterations,max_iterations,mean_time_ms,total_time_s,mean_residual,max_residual
GD,0.0,529.4166666666666,213.79570025909166,130,907,1.902444586448837,0.04565867007477209,6.548622907253062e-07,1.2999073413423414e-06
CG,0.0,12.083333333333334,0.5835920751217648,11,13,0.05512841865614367,0.001323082047747448,1.8169392019512347e-06,2.5815660834806195e-06
PCG_Jacobi,0.0,18.875,0.5366968215490656,18,20,0.09564754145685583,0.00229554099496454,5.781574377408923e-10,1.6522842281972172e-09
PCG_SSOR,1.0,19.0,0.0,19,19,0.5638662902735329,0.01353279096656479,1.528701704344878e-14,2.113461778950759e-13
PCG_IChol,1.0,1.0,0.0,1,1,0.1823316245766667,0.004375958989840001,5.039882204344032e-18,8.267456663844779e-18
