rebal_date,solver,converged,iterations,elapsed_time,final_residual,relative_residual,condition_number,min_eigenvalue
2023-01-03,GD,False,907,0.003126709023490548,4.3159580581507043e-07,0.0001138824755465937,277.0938955457468,4.117939732756927e-05
2023-02-02,GD,False,698,0.0025268750032410026,5.145449021965268e-07,0.00017340471311920257,281.22856820634104,4.078053652327629e-05
2023-03-06,GD,False,666,0.0023582089925184846,5.329746233535481e-07,0.00016000048868980584,255.26422801549478,4.3759866007751417e-05
2023-04-04,GD,False,704,0.002485834003891796,5.063683516208621e-07,0.000150389889708807,244.44386455614892,4.334560928039186e-05
2023-05-04,GD,False,744,0.0026009170105680823,4.879925030369266e-07,0.000141447634132849,235.50514512248282,4.460073720689473e-05
2023-06-05,GD,False,316,0.0011309999972581863,7.913982039091324e-07,0.00025585476234813755,225.75834993157278,4.724199068007024e-05
2023-07-06,GD,False,300,0.0011148329940624535,7.906805609139047e-07,0.0002616010164920913,225.53625773609681,4.747103823266089e-05
2023-08-04,GD,False,372,0.0013104170211590827,7.28064283536692e-07,0.00023613690100273706,223.11644616683182,4.823095882348874e-05
2023-09-05,GD,False,482,0.0018236670002806932,6.443879258792261e-07,0.00020462893973227945,226.3528250883106,4.8049566617164857e-05
2023-10-04,GD,False,630,0.0022304169833660126,5.371494374804273e-07,0.00016772545654003066,228.70841952917,4.742118914555048e-05
2023-11-02,GD,False,741,0.0027695000171661377,4.4830347340940687e-07,0.00012730300367126725,233.71174847535744,4.6709579817969424e-05
2023-12-04,GD,False,737,0.002619749982841313,4.6789993950777353e-07,0.00013736272770369833,244.1684020671227,4.431655414095431e-05
2024-01-04,GD,False,719,0.0026454580074641854,4.71652004535031e-07,0.0001411536677561742,244.03483836287944,4.380289238467149e-05
2024-02-05,GD,False,130,0.0004715830145869404,1.2999073413423414e-06,0.0004928576225683063,236.79054811338423,4.308750883354856e-05
2024-03-06,GD,False,180,0.0006232500018086284,1.054885707747706e-06,0.00035505287296423596,221.85873490903967,4.4160043739073396e-05
2024-04-05,GD,False,182,0.0006338329985737801,1.0811415563030894e-06,0.00038968791364932693,217.88534004040486,4.298446155131481e-05
2024-05-06,GD,False,516,0.0020100419933442026,6.158437452837504e-07,0.00017543549824455883,211.76973285378736,4.2855320590965195e-05
2024-06-05,GD,False,530,0.0018776250071823597,6.046932287516396e-07,0.00014454897227247776,192.6674764352297,4.35368144521316e-05
2024-07-08,GD,False,523,0.0018066249904222786,5.892442733578299e-07,9.401826437005123e-05,182.1670166525521,4.2936072418151374e-05
2024-08-06,GD,False,288,0.0011104170116595924,8.625589344860973e-07,0.00021994544522430494,197.4005510175328,4.3288973190939324e-05
