Date,GD,CG,PCG_Jacobi,PCG_SSOR,PCG_IChol,SPY
2023-01-03,0.9890038674596038,0.9890066339474984,0.9890029809167207,0.9890029793928391,0.9890029793928377,
2023-01-04,1.0169753479178236,1.0169717123998099,1.0169753162478397,1.0169753101466008,1.0169753101465975,1.0076907048770707
2023-01-05,0.9996092618127914,0.9996045103979149,0.9996093651090104,0.9996093581599542,0.9996093581599491,0.9961234218364208
2023-01-06,1.0445450253093769,1.044538419128406,1.044546366606914,1.044546361805578,1.0445463618055728,1.018708540565338
2023-01-09,1.0630807527509982,1.0630829345825776,1.063080668356076,1.063080661885189,1.0630806618851847,1.0181309773686225
2023-01-10,1.0771852908929693,1.0771951029541602,1.077184867858882,1.0771848656084884,1.0771848656084841,1.0252460680979487
2023-01-11,1.0909806582466188,1.090988254259777,1.090977859054023,1.0909778579965925,1.0909778579965885,1.0381317848445395
2023-01-12,1.1065839730100326,1.106592509814573,1.1065770025577735,1.1065769994366974,1.1065769994366939,1.0419045093791233
2023-01-13,1.1103072158136393,1.1103109436039644,1.1103002392236343,1.1103002383302087,1.110300238330206,1.045938873801479
2023-01-17,1.1084296861041407,1.1084463601181156,1.1084198610031748,1.1084198579563789,1.1084198579563767,1.0440210955091371
2023-01-18,1.099149225527797,1.0991636765317798,1.099139426891998,1.0991394249609685,1.0991394249609665,1.0274064523540332
2023-01-19,1.0708799183849704,1.0708915485969097,1.0708714204517484,1.0708714163375126,1.0708714163375093,1.0198997563557186
2023-01-20,1.1046268666686128,1.10464789579533,1.104615208819147,1.1046152050997384,1.104615205099735,1.0387248304175838
2023-01-23,1.1616750638088182,1.161701410314458,1.1616595822789153,1.161659570129305,1.1616595701293033,1.0511139511154555
2023-01-24,1.1511510496834765,1.1511737428797353,1.1511360631942147,1.1511360541834457,1.151136054183444,1.0499851317025062
2023-01-25,1.150226561190882,1.1502592012148078,1.1502104119381737,1.1502104061428282,1.1502104061428267,1.0503786244433246
2023-01-26,1.1695919245746025,1.1696455283690983,1.1695720527215867,1.1695720534651877,1.169572053465186,1.0618596288297115
2023-01-27,1.1551767694707664,1.1552223441193223,1.155161405758165,1.1551614031651234,1.1551614031651232,1.0642965651357568
2023-01-30,1.1301626225454033,1.130190614945909,1.130149193703856,1.1301491942244473,1.130149194224446,1.0508586450781259
2023-01-31,1.1516567548782461,1.1516822229480674,1.151644401005834,1.1516444070746978,1.1516444070746985,1.0661972733139407
2023-02-01,1.2106789644475742,1.2107220373795289,1.2106625258285582,1.2106625334012346,1.210662533401238,1.0774687085783323
2023-02-02,1.248329242607784,1.2483842338073834,1.2483140136973816,1.2483140222731204,1.2483140222731195,1.0930403919665448
2023-02-03,1.232180300569705,1.2322385706697323,1.2321706646196644,1.2321706737724822,1.2321706737724856,1.0813602241750226
2023-02-06,1.1964597535795878,1.1965242965243885,1.1964568611092499,1.1964568717081414,1.1964568717081439,1.0747312823487498
2023-02-07,1.2267421916826113,1.2268095397790768,1.2267390793585828,1.2267390898427042,1.2267390898427062,1.088696122428222
2023-02-08,1.1975709485839432,1.1976443846191838,1.197568430859505,1.19756844131455,1.1975684413145495,1.076726004844163
2023-02-09,1.1938247714745986,1.1939085691517783,1.1938231236420893,1.193823134555963,1.1938231345559667,1.0673507959667707
2023-02-10,1.179337081986517,1.1794115985487683,1.1793301234369842,1.1793301334124866,1.1793301334124935,1.0698387671376315
2023-02-13,1.2001809776581183,1.2002546620051355,1.2001739790945383,1.20017398886694,1.2001739888669465,1.0823246090970013
2023-02-14,1.219895844156484,1.2199684467461684,1.2198865403303683,1.2198865486892023,1.2198865486892039,1.0818264876584842
2023-02-15,1.2129393740093783,1.21300837428939,1.2129363661152388,1.2129363762523968,1.212936376252398,1.0853338970918067
2023-02-16,1.181326027584155,1.1813985350485858,1.1813242229293242,1.1813242339534091,1.1813242339534205,1.0702862873405439
2023-02-17,1.160098385676217,1.1601758713786656,1.1600985905625916,1.1600986025871673,1.1600986025871791,1.0676091155539666
2023-02-21,1.1170058810831685,1.1170847533771144,1.1170086661745882,1.1170086771087295,1.1170086771087366,1.0459741954307313
2023-02-22,1.1072893602758984,1.1073651561169708,1.1072923750143315,1.107292385211292,1.1072923852112968,1.0445316659218908
2023-02-23,1.1349367009954623,1.1350150179178464,1.1349380700727079,1.1349380789424406,1.1349380789424413,1.0500730189063314
2023-02-24,1.1124240669823948,1.1125002472040364,1.1124262787224517,1.1124262876120325,1.1124262876120334,1.038795483078387
2023-02-27,1.1124535591230458,1.1125346946273846,1.1124599264866621,1.112459935840618,1.1124599358406158,1.0423275944906547
2023-02-28,1.1162674378010622,1.1163483756402657,1.1162745288557725,1.1162745381095467,1.1162745381095456,1.038468039395449
2023-03-01,1.1235568466894241,1.1236344167620729,1.1235610896205284,1.1235610987362956,1.1235610987362978,1.0344768370526156
2023-03-02,1.1382663943291387,1.138338620629417,1.1382664370657662,1.1382664453888367,1.1382664453888354,1.0424912117319043
2023-03-03,1.1400628755304765,1.1401460180334513,1.140067567924982,1.1400675783824126,1.1400675783824081,1.0590778460491581
2023-03-06,1.1264886785889912,1.1265741430239897,1.1264947270027477,1.1264947391444438,1.12649473914444,1.0598110367540894
2023-03-07,1.1125897400916487,1.1126826756016315,1.1125996804941474,1.1125996953489272,1.1125996953489221,1.0434397315990467
2023-03-08,1.1422562014847883,1.142353439856297,1.1422674960353587,1.14226751054316,1.1422675105431535,1.0451415732151665
2023-03-09,1.1293146088899466,1.1294121603839045,1.129324661659401,1.1293246807614512,1.1293246807614474,1.0256787901113922
